Nome,Temperatura,Pressione,Livello Co2 
73380,24,983.21,447
34609,21,983.88,444
31903,23,983.41,460
78198,21,983.13,451
44191,23,982.47,457
31574,20,982.11,442
40013,16,982.14,443
44476,18,982.48,454
23319,17,982.70,451
29586,11,982.88,446
67894,29,1023.18,458
78303,31,1024.10,459
76664,19,1023.34,458
00188,20,1022.89,454
23845,16,1023.75,446
28977,18,1023.92,446
74413,19,1024.20,454
00426,20,1024.17,446
88948,20,1023.23,458
07299,21,1023.35,452
10369,24,996.92,444
97123,20,997.14,447
90726,19,997.49,444
86494,17,997.51,451
57807,19,997.00,440
84803,20,996.07,446
56311,22,996.44,450
61920,18,996.73,451
09032,15,997.42,451
73801,17,998.34,445
50364,21,1030.54,453
93476,20,1031.13,452
70984,22,1031.38,452
27496,20,1032.00,457
56886,20,1032.54,458
39651,16,1032.61,453
65760,14,1032.69,454
38018,15,1032.17,458
83927,14,1032.11,458
87378,12,1031.71,444
38993,20,985.47,442
60568,20,985.39,448
54412,18,985.71,446
36171,19,985.99,460
36358,19,986.15,453
96184,21,986.48,459
71359,17,985.85,449
16117,15,986.12,460
42338,17,986.60,458
70851,17,987.27,460
34721,26,1025.03,459
13458,26,1024.17,447
51288,22,1023.48,453
14406,23,1024.21,457
25267,25,1024.67,442
98894,27,1025.45,460
34825,19,1024.80,451
76530,19,1025.01,448
29608,12,1024.17,450
20937,13,1025.15,453
38166,24,982.58,447
42185,24,983.53,447
31310,24,982.65,457
39112,18,983.34,441
54218,16,984.11,447
16210,15,984.49,445
87376,17,984.19,446
49233,15,983.26,457
07298,14,983.70,460
43745,11,982.91,460
88887,25,1034.37,442
64605,26,1034.40,447
60767,24,1034.50,442
53611,25,1035.09,444
58179,19,1034.23,444
07729,15,1035.22,458
83513,15,1035.63,447
55279,13,1034.91,449
72822,15,1034.17,459
98559,13,1033.29,444
41654,25,1026.48,456
14906,21,1027.43,450
65809,22,1027.03,450
45894,18,1026.91,448
02211,19,1025.93,445
13961,20,1025.35,454
16241,15,1026.35,443
57320,14,1027.15,442
28203,16,1026.21,443
63445,15,1027.12,452
98451,20,994.05,451
17657,19,993.76,452
39471,20,994.19,460
18446,20,994.66,454
81814,18,994.96,460
21230,17,994.76,460
34676,15,994.57,444
75477,16,994.72,440
53213,15,994.92,443
76482,12,994.28,452
e,1,2.0,3
32484,28,1019.24,450
18248,21,1019.49,446
10853,21,1019.80,456
78762,17,1019.45,453
37426,16,1020.02,447
42362,16,1019.50,457
99245,17,1020.39,454
53734,19,1019.71,448
53292,20,1018.90,447
23120,14,1018.62,446
24189,24,993.17,460
39182,24,992.19,449
56524,25,992.84,453
03574,17,992.54,445
27133,17,991.57,457
85246,19,992.33,445
64178,14,992.26,452
40492,14,991.68,443
30156,13,991.78,448
43889,15,991.09,445
52425,20,981.60,441
13419,21,982.21,446
68656,23,982.52,455
45815,17,983.04,451
11255,16,982.63,446
55339,15,983.39,450
40803,15,983.36,442
35089,14,984.28,460
20810,12,984.19,440
60676,14,983.63,458
w,1,2.0,3
1,2,1.0,2
18212,28,1029.83,448
43046,27,1029.39,440
28159,23,1028.87,445
97166,21,1028.14,460
35684,16,1028.16,446
99011,17,1029.06,450
29554,17,1028.20,453
41336,13,1027.71,441
08522,15,1027.22,459
53693,12,1026.47,455
90222,29,1037.98,445
00521,30,1038.92,441
74215,32,1037.99,447
61837,18,1037.78,445
87400,18,1037.91,449
65457,19,1037.51,452
88536,19,1036.58,440
74686,14,1036.31,454
99331,12,1035.50,442
41883,11,1036.48,453
23422,28,1033.36,440
69804,23,1034.28,450
75525,22,1033.70,459
99715,17,1033.80,451
84869,16,1032.84,452
35005,17,1033.51,456
32835,15,1032.72,454
66842,16,1032.30,447
03442,18,1032.52,458
52145,20,1031.97,443
77903,29,997.65,457
44382,19,997.05,459
84276,21,996.41,448
63665,18,995.69,442
16416,18,996.10,444
80654,15,995.48,449
55081,14,996.44,444
17741,15,997.42,445
34183,15,996.67,460
16610,12,997.13,442
59727,30,1009.59,443
96918,21,1008.95,442
47808,20,1008.19,440
57074,20,1007.58,457
45751,22,1008.02,459
65328,17,1007.68,452
26222,19,1008.38,444
15160,16,1008.09,440
74794,16,1008.23,456
19091,13,1007.49,447
